"Name","Review Content","Date","Rating","Hilton Hotel"
"Stay Windhoek","Excellent hotel Room next-door TV too loud.  The frontdesk solved problem.Good food.Reasonable wine list.Parking for residents good too expensive.Great view from bar and upper deck.Attendants very helpful. Rooms well equipped.","Date of stay: August 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"for a classic business traveller","This is magnificent hotel  great for businesses traveller.its classy and has all what you need when doing business in Namibia.with rooftop poolside , its all what you need at the end of the day relaxing and reflecting on how your day would have progressed.","Date of stay: July 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Accommodation in Windhoek","I have always stayed in other hotels while visiting Windhoek, but based on the fact their Internet services was bad, I decided to try the Hilton. I am really enjoying my stay in this great hotel. The rooms are great and the service is brilliant. I am not to impress with the restaurants, but luckily Windhoek offers great places to eat. I will visit The Hilton regularly going forward.","Date of stay: July 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Good Hotel","Despite a little slow service the Hotel is good and provides value for money. The best on it are the rooms. During my presence it was Winter and it was a bid cold in the Bar at evening. do not know why nobody closed the window/door.","Date of stay: June 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"A nice place to stay","I really enjoyed my stay at the Hilton. I would have liked to stay longer, but could not because I was on a business trip.  The Hilton is a very beautiful hotel with very professional and helpful staff. It is a hotel worth trying when you visit Windhoek.","Date of stay: May 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Convenient !","I was in Windhoek only for one day and two nights and the staff at the hilton were very accommodating. They booked a few tours for me all if which were excellent.  I had a great experience. The breakfast is also very good.","Date of stay: April 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Too Noisy - not 5 star","Nice room, friendly staff, all as expected. Nice view of city from roof bar. Breakfast decent, not wow. Nightclub noise and noise from passages intrusive - not soundproof, not 5 star! Missing the little touches of 5 star hotel","Date of stay: March 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Good Hotel - No Free WiFi","Hotel staff were attentive, friendly and efficient. Rooms were good and on par with most upper end hotels around the world. Breakfast was good with a great buffet selection. Small fitness centre on the top floor with a great view. Located on the same floor is also a small pool as well as bar, great view and nice location to relax. Only gripe is the Wifi which in this day and age should be complementary. Especially for a hotel of this calibre.","Date of stay: August 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"EXCELENTE HOTEL","um hotel excelente, com bom serviço de atendimento, equipado com pessoal extraordinário e eficiente, e capaz de responder qualquer situação que possa existir... esta bem localizado e bem requintado... a","Date of stay: February 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"The best place in Windhoek","I have stayed here about 6 times.  Always at the exec. floor.  Their exec. lounge is fine, but if it's busy morning or evening it's just too small.  Two floors lounge, but no one wants to go upstairs..The property is good, the rooms as good as they get in Windhoek.  I have stayed at several other places there.  This hotel is where you would want to stay in Windhoek.It's easy to eat at various places in the hotel, and there is the Italian place not far from the hotel..","Date of stay: May 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Mediocre Windhoek Hilton","Service at Skybar was almost non-existent and that on Christmas day. Don't trust the lifts - we got stuck for a few minutes. Breakfast was very mediocre.  No warm fish. Coffee service very bad. Apart from that , the rooms are lovely and clean and the staff are friendly at least. You have to pay for Wi-Fi. Situated in the centre of town.","Date of stay: December 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Great Hotel","Lovely surroundings, in a quiet part of the city, helpful staff, great food, fantastic rooms. Sky bar & roof top pool are a lovely addition. Mini bar is well priced so dont be shy. Executive lounge is as lovely scerene environment. And a nice place to meet fellow travellers.","Date of stay: August 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Windhoek","Great Hotel but having problem with the staff cancelling security deposit on my CC, one week later they are still ignoring my e mails. Rooms are clean and linen in very good condition, overall appearance is great. Location of hotel is also very good. Not happy with the hotel's driver that took me to the airport, sending numerous text messages while driving is just idiotic.","Date of stay: November 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Business trip","The interior design of the hotel is excellent. Very modern. I enjoyed my stay very much. I found the WIFI in my room difficult to use and understand. The water on the bathroom floor caused me to slip . but overall I was very happy with the stay. very good.","Date of stay: October 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Outstanding Windhoek Hilton","I travel endlessly around the world, it seems, and yet here am I filling in a  review of a hotel in distant Namibia..  I was really refreshed by my stay here, the quality of the hotel, and the wonderful efficiency, helpfulness and friendliness of all the staff.  The bedroom was excellent with a light airy design.  Restaurant had a good selection of food, and I loved the girl coming round at breakfast with special bakery of the day compete with a menu card to take home!!","Date of stay: September 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Bad Transport and Terrible Bathroom for Father and Daughter","Please absolutely do not use Hilton Windhoek. There was bad service from the start. Our confirmed airport transfer did not arrive and we had to ward off people trying to put us in their cars instead. How would you feel when you arrive in a strange land and the first thing start going wrong!??Secondly, when our car finally arrived after umpteen calls at 30 mins, luckily their transportation sub-contractor had another driver there, picking up someone else. Through their rearrangement to send his own guest to Hilton as well, Mr. Driver sent us to Hilton.In the car, you start to feel unsafe as there are cracks and crooks on the wind screen. With the constant hitting on this stony road from the airport, the wind screen would just fall onto Mr. Driver and my father sitting infront. They sent their drivers and guests around in unsafe calls? Had and should always go super slow in order to reduce the effect of the hitting.When we reached the hotel, we asked to speak to the in-charge. The second in-charge finally appeared without even handing us his namecard, gave a few words to Mr. Driver and just left us alone after giving us his nonchalant attitude and words.The third worst thing, their front-desk service was not warm at all. Thus, infuriating the already-upset-me.Fourth terrible-experience point, Hilton's bathroom are the stupidest whether it is in Sydney or Windhoek, there is a see-through slab at the side of the bathroom?????? The rest of the bathroom was very translucent as well!!!When I have my shower, my father has to wait at the restaurant. What nonsense is this!!My conclusion - no more Hiltons for us. Full-stop.HuiSingapore04 Sept 2013, WedM","Date of stay: June 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Hilton Hotel"
"Perfect Hilton service, but without african atmosphere.","Perfect in many ways, and right in the city centre.  Relaxed atmosphere (first Hilton I've been where I feel I fit in even I wear fleece sweater and sneakers). We had breakfast, made use of in-room dining and the coffee shop, and felt we got value for money (but we also live in Norway where everything is very expensive). The pool area was quite windy sometimes, but we also stayed at the hotel during the Namibian winter (which is short). We got anyway a short dip in the pool which is 28 Celsius. The hotel is quite new and everything is what you expect of a Hilton hotel. As you can see from pictures, the bathrooms have a very ""open solution"", so think careful who you want to share you room with :). The best part is anyway the staff who are very friendly and perceptive. Many tourists use the hotel as a first or last stop in Namibia. If you feel you want some affordable comfort before or after a round trip in the country, then I can highly recommend the hotel. But if you seek a more local African atmosphere, you might should consider a good guest house in the suburbs, or guest farm outside the city. Even the price quickly can be the same if you want same comfort and service as Hilton offers.  Hilton offers airport transfer at scheduled departure times via Vulkan Ruin Tours & Transfers for 150 ZAR/NS per person one way, or private car with flexible departure times for 180 ZAR/NS (ask concierge). We used the private solution and here they didn't charge us for our 7 year old child. Book the day before to get sure you get the departure time you want.","Date of stay: August 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Excellent service in modern hotel","We really enjoyed the elegant and modern conveniences of the hotel, such as the rooftop patio and pool. Our suite was amazing with a deep tub and rainshower head. The staff were exceptionally helpful and went above and beyond. The local dishes night was a little too exotic for me.","Date of stay: August 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Great Stay!","I stayed for 2 non-consecutive nights in June; I know Windhoek very well, and was a little hesitant to stay at a big hotel, but it was wonderful.   Clean, good amenities, very comfortable rooms and stay was extremely friendly and helpful.  Overall, it can be hard to find good service in Namibia (with some very notable exceptions), but without fail I found the staff helpful with a number of issues.  Treat yourself to a drink or snack on the roof bar with a great view.","Date of stay: June 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"One of the best in Windhoek","This is a great premium chain hotel on par with any other Hilton internationally. Excellent linen and towels, premium toiletries and clean, well furnished rooms. Good restaurant and bar with excellent pool and recreation facilities on the roof top. I would highly recommned if you are in need of a stop over","Date of stay: December 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Friendly and great beds","Spent. 3 nights here and was not disappointed. Well appointed rooms, quiet, food good and very nice roof top bar. As with all Hilton's book early to get good rates. Staff very friendly and helpful. Good location and trips to airport not too outrageous. Have drink in the sky lounge!!!","Date of stay: May 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Conference at the Hilton","I spent 2 nights at the Hilton while attending a conference at the hotel.   Overall, I have been impressed by the friendliness and efficiency of staff, clean, comfortable and spacious accommodation (executive room) and the quality of the food at breakfast and lunch (buffet meals).  Conference room facilities were good, though the hotel design means that there is a lack of space for exhibitors and delegates at larger events.","Date of stay: April 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Almost Perfect","A lovely, first class property in the Namibian capital. Rooms are modern and well equipped with a funky bathroom and a VERY comfy bed.The wi-fi wasn't included in the room price, but it worked OK.Only gripe was the air-con wasn't working when I arrived in my room. A quick call got someone to attend and confirm it wasn't working. But never got fixed. Hopefully just teething troubles, but spoiled an otherwise perfect stay.Would stay again.","Date of stay: March 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Excellent choice for a touch of luxury and central location","I would not normally opt for a hotel in the centre of Windhoek but would rather head out to the suburbs to a cheaper and comfortable guest house. On this occasion, I booked the Hilton for our last night before flying back home after a long driving holiday around Namibia, I'm pleased I did! I booked the rooms well in advance and got an extremely good advance rate which was not much more than an average B&B. The hotels is new and that is echoed throughout, the rooms are very spacious with great views of Windhoek, beds extremely comfortable and the breakfast very, very good with great service. There was lots of underground parking for the Toyota Hylux we had and the staff were very helpful assisting us gather out lives together and get to reception and our rooms (I was a little surprised we had to pay 60 dollars to park there, very strange for such a big hotel!). If you are not a couple I would be careful in selecting your room, ours was a twin double but the bathroom (bath, sink and shower) is open plan (I have to say it was the best bath I have taken in years!). We all slept very well and the location was great for a quick wander in the morning up to the Parliament Buildings and garden before heading off.If you are finishing a trip and after a bit of luxury and a very good nights sleep before flying out I would recommend it (a little fancy but hey once in a while I can cope :-) ). Service was very formal but courteous.Excellent","Date of stay: November 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Oasis in Windhoek","Excellent value, excellent hotel! Roof bar is great to watch the sun go down.Rooms are clean and comfortable! Internet good. The staff are really freindly and helpful! Great breakfast! Gym not all that well equipped but ok!","Date of stay: February 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Excellent Spa and Bar","I visited a friend who stayed at this hotel. The Spa is excellent and great value for money. The best part is they work until 9pm so you can come after a work meeting and still get a massage. The sky bar has one of the best views of the city","Date of stay: November 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Spectacular views","This new hotel right in the centre of Windhoek, has the most spectacular views around the surrounding mountains . Also on the rooftop is a bar and swimming pool, where you can relax when the weather is suitable. Being a brand new hotel everything is new.. the rooms and facilities, and the business people of Windhoek seem to use it.","Date of stay: February 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"An excellent hotel in the heart of Windhoek","I have spent one night at Hilton Windhoek with my family (wife and two kids). Very good experience for all of us. Location is strategic to walk around and visit some shops in the city center. Room we stayed at the Hilton was very good, we had very good meals (dinner and lunch) at hotel restaurant, personnel were keen to please us, breakfast was very good as well. Recommended.","Date of stay: August 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"The only hotel to stay at in Windhoek","This hotel beats any in Windhoek and IS the hotel of choice for tourists, business people and locals. Well set out, sharp design, staff willing to assist, efficiently run, not sterile, nice atmosphere, conveniently and centrally located. Reasonable rates, booking made online.Arrival - easy, efficient check-in, nice welcome, good assistance with hire vehicle and parking, explanation of where breakfast is served, location of the sports bar, where the lifts were, discussion as to what floor level our room was and our intended checkout time.Accommodation - large and spacious room, queen size bed, comfy, nice linen, separate bath, shower, loo and washbasin area, hair dryer, power points for recharging, desk with chair, occasional chair, large flat screen TV, minibar (well stocked), safe, coffee/tea facilitiesFood - Dinner was offered in the Ekipa Restaurant either al a carte (limited and small menu with grill options also) or the buffet. We chose the buffet which was really good quality and great selection. Glance at the buffet before deciding, you should not be disappointed. Wine list had a good range available. Staff during dinner were attentive, friendly, and kept themselves busy. Breakfast is served in the same location as the Ekipa Restaurant. Food quality and buffet selection was good but during our visit we experienced sleepy, sloppy service - harmless though (its just breakfast really!) and would not deter us from recommending this hotel to others.Reservations - Book directly with hotel via website, online, instant confirmation, secure credit card system, great prices and options offered.Facilities - comfortable lounge areas on the ground level (indoor and outdoor), shade provided outside. Toilet facilities on the ground and mezzanine level. Small shop (cigarettes, postcards, lollies) on mezzanine level near lifts. Curio shop on ground level with good selection of gifts, jewellery, t-shirts cds etc and staff were efficient here. Sports bar had a great vibe, TV screens, staff were attentive, also comfy indoor and outdoor seating (plus heaters). A separate wine cellar room is near the sports bar and looked well stocked and intimate, would suit private meetings or functions.Best - dinner buffet (quality of food and service received), sports bar (atmosphere and service received) and the room overall. Check-out was 12.00pm - fantastic! The night manager Pieter went above and beyond to deliver a special dessert platter to us, with a lovely message - thank you!Improvements - lack of rubbish bins in room (we only had one tiny bin in the actual loo area) and offer complimentary water for cautious tourists.Verdict - The only hotel to stay at in Windhoek!","Date of stay: June 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"砂漠往復の疲れ飛ぶ快適性","直前の２日間、レンタカーで西方海岸地域のウィンドフックまで、ナミブ砂漠を片道５時間弱をかけての往復に疲れ切ってのヒルトンＨに、ほっと一息の感動を感じたのは、砂漠の一本道を走り続けてきた反動でしょうか、とても素晴らしいホテルと感じました。　街中にあり、小さな首都の街だけど、コンビニやレストランが周辺にあるだけで落ち着く。　砂漠を見るには、車でなくても、散歩程度の移動で遠くに大自然はみられるので、都会もどきが感動のホテルでした。　レストラン、プール、ロビーはヒルトングループの名に恥じないものでした。","Date of stay: November 2011This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Hilton is Hilton...","Five star hotel in Windhoek. Staff was friendly and helpfull. Rooms were clean and well equiped. Lack of a bottle opener was not a problem for a room service. lol....We spent all together three nights in this hotel. Breakfast buffet was exelent. Enough for a dayBut remember, don`t ever order your transportation to airport at the front desk. It`s three times expensive than a taxi, and it`s not a limo.","Date of stay: July 2011This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Chic style in Namibia?","If you are looking for an Africa experience, skip it. But it you want a true 4 star westernized-urban business-like hotel in downtown Windhoek then go for it. Did this whole place just drop into Namibia? Very lovely modern setting, room decoration is strange with bathtub open to the whole room. Roof top deck is fantastic, but small.  BEWARE of flaky wifi service that only works in some seats in the lobby, does not work in the rooms or roof top deck. Internet in the room is plug in...no plug on an iPad or smart phone so worthless for me. And they charge for internet access - annoying.","Date of stay: July 2011This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Good choice in Windhoek","The hotel is centrally located with a range of sights nearby. We stayed in the very large presidential suite. The suite was generously furnished with lots of lovely decorative items. The bathroom was spacious with all amenities one can think of. The lounge is rather small but has everything you need with a good buffet breakfast and free flow in the evening hours. Service staff is very friendly and helpful. There is a fantastic view from the lounge. The rooftop pool is great as well as the rooftop bar with a great vibe, especially in the evening when you have the best view of Windhoek by night. Hotel staff is friendly and professional.","Date of stay: May 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Great Overnight Stays","We overnighted at the Hilton at the start and the end of a 12 day tour of Namibia with the excellent Wild Wind Safaris. This ensured we had a good rest after long flights prior to starting our tour. We were especially pleased to be upgraded to the Executive rooms as gold members. Service was excellent and all staff were friendly and helpful. We are very happy to recommend this hotel.","Date of stay: September 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Average ","The staff are very friendly and helpful.The rooms need to be updated and could do with a proper clean. There was dirt splattered on the walls and roof, the linen had stains and the furniture is damaged. The breakfast is dead average.Other than that the sky bar and pool is nice and it is located near all the tourist attractions.","Date of stay: January 2021This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Lovely hotel with a killer rooftop bar","We were upgraded to a garden room on the 7th (executive) floor. Lovely room with a terrace. Though we booked for two adults and a child, they didn't provide anywhere for the child to sleep - but we were only there one night so he just jumped in bed with us.The executive lounge on the 9th floor is characterless and hot. Horrible place with dated decor. And very strict about what you can have at what times. We arrived 5 minutes after they put away the snacks but 55 minutes too early for supper. So there was nothing to eat. Host just shrugged.Beers and wine were locked away for another 55 minutes too apparently. Had a coke and went outside (though not allowed to take your coke outside either). Wonderful rooftop bar with slow service. Pool available. Not heated so pretty cold in the winter. The spa was closed for redecoration. Views from the roof are nice - great place for some sundowners.Parking garage beneath the hotel. You are supposed to pay for this so keep your receipt that you get when you enter it. We lost ours.The main restaurant was ok. Food was not bad but nothing to write home about. Breakfast was nice.Staff were all friendly, and overall a good place for a stopover.","Date of stay: July 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"A very solid choice","I stayed in the Hilton for six nights. Overall this hotel is a very solid choice. The room was large and comfortable with most of the core amenities. It could be improved by stocking the mini bar, adding some bath robes and a hairdryer. The breakfast has a decent buffet with an omelette station. The staff are friendly and helpful. It is well located - with the Supreme Court building across the road and several banks nearby. The gym has a couple of running machines, a cycle and two cross trainers. There’s a small selection of free weights. The swimming pool is a bit incidental. There is also the sky bar which offers a good view across the city.","Date of stay: July 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Good choice for a few nights in Windhoek","Most people don't spend long in Windhoek.  It's not the most exciting city nor the most safest.  I spent a few nights here after travelling around Namibia.  There are not that many 4 or 5 star options in the area and I wanted something with a bit of nightlife within the hotel.  Normally I would go out but as I said Windhoek has limited options with regards to this.  This was a good choice to relax after a hectic trip but at the same time I could do some local sightseeing and last minute shopping.  Nice room.  Spacious and clean.  Close to some attractions and eateries.  The hotel has some good dining options itself.  Big lobby.  Nice atmosphere.  Secure.  Staff are pleasant.  Prior to my trip around Namibia, I spent a night in another hotel in Windhoek which was more a luxury lodge.  This was also nice but very isolated and more for people who wanted total peace.  After being on safari in lodges and guest houses, I was quite glad to get back to the city and the Hilton was a good choice.  Would recommend.","Date of stay: March 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Lovely, modern hotel","A lovely hotel, centrally located in Windhoek. Modern, and lovely roof top bar and small swimming pool. Rooms are spacious, with a well sized bathroom, with separate bath and shower. Bed is comfy, my only complaint was noise insulation. Whilst not excessive, I did hear some road noise and the couple next door. Good aircon and reasonable wifi.Breakfast was ok, but not the usual Hilton standard.","Date of stay: September 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Taauli Shivute","My visit was excellent and im please coming back most definite all thanks to Mrs Rosalia and Mrs Kavemunu. My room was neat and comfortable,food was amazing . Again is the best and staff is amazing and friendly","Date of stay: June 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Amazing experience","We travelled to the hotel on business and had an amazing experience from check-in to check-out. The staff are all very friendly and very helpful.I would recommend this hotel to any traveler, business or leisure. Looking forward to my next stay at Hilton Windhoek","Date of stay: September 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Good stay but inconsistent service","A comfortable modern hotel in a great central location. The rooms are large and comfortable with all amenities one would expect. My bathroom was well fitted with a shower and bath with a separate toilet, the bathroom did however open on to the room so no privacy if it was desired. The internet connection in the room was good. Breakfast was great, good range of hot and cold food. The buffet for dinner was also pretty good. The service at all times in the restaurant was however pretty slack, we often had to wait to get someone's attention and had to ask for things that you would expect to be anticipated, such as coffee at breakfast.Only disappointment of the four night stay was room service one evening. On two nights I ordered a steak, the same steak, the first night the steak was significantly larger the on the second. I was also given different  side dishes to what I ordered, even after the person who took my order repeated it back to me.Reception staff were very helpful, organising transfers and an excursion when I had some free time.Would recommend the hotel and would stay again.","Date of stay: June 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Absolutes Spitzenhotel - sehr empfehlenswert","Wir waren bereits das zweite Mal als Familie im Hilton Windhuk und waren auch diesmal von dem Hotel, der Freundlichkeit und Hilfsbereitschaft der Angestellten sehr angetan. Der ideale Platz für die Ankunft in Namibia bevor es auf Rundreise geht. Absolut familienfreundlich, sehr um das Wohlergehen der Gäste bemüht und sehr aufmerksam. Die Zimmer sind sehr schön und modern eingerichtet und bieten genug Platz für gross und klein. Die Lage des Hotels ist für Ausflüge zu den Sehenswürdigkeiten der Stadt ideal. Unbedingt das Pool auf dem Dach ausprobieren, schwimmen mit diesem Ausblick, sensationell. Das Preis/Leistungverhältnis im Hilton stimmt absolut, jederzeit sehr gerne wieder.","Date of stay: December 2011This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
